campaign_id,spend,impressions,clicks,conversions,channel,ctr,conversion_rate,revenue,roas
CAMP_000,6343.55,50314,1637,65,Google,3.25,3.97,92091.18,14.52
CAMP_001,6648.39,61215,853,24,LinkedIn,1.39,2.81,41769.21,6.28
CAMP_002,3424.13,18938,1827,56,Google,9.65,3.07,71447.67,20.87
CAMP_003,4252.72,27501,2616,33,Google,9.51,1.26,51034.63,12.0
CAMP_004,5548.42,50638,2665,100,Facebook,5.26,3.75,183483.65,33.07
CAMP_005,1336.41,70698,862,64,Google,1.22,7.42,124123.18,92.88
CAMP_006,7644.02,49330,2741,42,Google,5.56,1.53,41012.5,5.37
CAMP_007,7206.76,26701,1857,47,Facebook,6.95,2.53,89859.54,12.47
CAMP_008,2826.26,57589,1180,60,LinkedIn,2.05,5.08,83432.37,29.52
CAMP_009,1107.13,61793,2182,46,LinkedIn,3.53,2.11,51055.09,46.11
CAMP_010,7534.05,26676,1548,73,Facebook,5.8,4.72,98620.29,13.09
CAMP_011,4507.28,36441,1258,14,Facebook,3.45,1.11,27664.55,6.14
CAMP_012,4775.64,47402,2174,49,Facebook,4.59,2.25,68165.94,14.27
CAMP_013,5787.75,44759,896,67,Facebook,2.0,7.48,80031.63,13.83
CAMP_014,5310.96,37273,1124,94,Facebook,3.02,8.36,146647.62,27.61
CAMP_015,7607.24,30834,1416,47,LinkedIn,4.59,3.32,51144.21,6.72
CAMP_016,7609.76,16998,910,28,LinkedIn,5.35,3.08,24949.01,3.28
CAMP_017,7070.39,13743,1334,20,Facebook,9.71,1.5,19093.11,2.7
CAMP_018,5454.83,77097,1800,141,Google,2.33,7.83,134465.36,24.65
CAMP_019,6606.65,69300,2274,68,Facebook,3.28,2.99,66795.26,10.11
CAMP_020,5740.18,34843,2348,91,Google,6.74,3.88,87959.93,15.32
CAMP_021,5013.57,76976,2503,138,Facebook,3.25,5.51,216528.86,43.19
CAMP_022,1899.5,57373,2283,21,Facebook,3.98,0.92,21383.38,11.26
CAMP_023,6678.43,43776,2106,132,LinkedIn,4.81,6.27,160353.7,24.01
CAMP_024,6744.48,44511,865,87,Google,1.94,10.06,163224.71,24.2
CAMP_025,5381.58,15829,1320,33,Google,8.34,2.5,45168.88,8.39
CAMP_026,6742.99,16419,1537,67,LinkedIn,9.36,4.36,107271.64,15.91
CAMP_027,5560.39,52170,432,118,LinkedIn,0.83,27.31,118800.49,21.37
CAMP_028,2446.79,48759,1679,77,LinkedIn,3.44,4.59,79367.51,32.44
CAMP_029,2917.73,24890,1421,147,LinkedIn,5.71,10.34,124809.22,42.78
CAMP_030,2502.12,76233,2445,62,Google,3.21,2.54,62168.77,24.85
CAMP_031,3640.81,64690,2938,114,Google,4.54,3.88,129311.16,35.52
CAMP_032,1272.74,17942,1756,65,Facebook,9.79,3.7,65806.82,51.7
CAMP_033,5327.78,75165,1103,126,Facebook,1.47,11.42,114211.82,21.44
CAMP_034,3355.88,78197,321,89,LinkedIn,0.41,27.73,84083.91,25.06
CAMP_035,5590.06,79715,2789,18,LinkedIn,3.5,0.65,24352.82,4.36
CAMP_036,3697.78,13910,2773,15,LinkedIn,19.94,0.54,15714.01,4.25
CAMP_037,5771.3,61592,908,28,Facebook,1.47,3.08,34639.47,6.0
CAMP_038,3384.37,48214,2147,11,Facebook,4.45,0.51,15445.11,4.56
CAMP_039,2824.86,59408,411,20,Facebook,0.69,4.87,32569.48,11.53
CAMP_040,4472.26,77805,665,106,Facebook,0.85,15.94,89800.5,20.08
CAMP_041,5850.23,58162,807,84,Facebook,1.39,10.41,147780.57,25.26
CAMP_042,3438.36,68587,1024,114,Facebook,1.49,11.13,177096.77,51.51
CAMP_043,7556.54,70680,2988,137,Facebook,4.23,4.59,123041.18,16.28
CAMP_044,1274.3,68693,2151,91,LinkedIn,3.13,4.23,168194.79,131.99
CAMP_045,3925.62,39826,1275,111,LinkedIn,3.2,8.71,211460.2,53.87
CAMP_046,7773.06,25580,2263,115,LinkedIn,8.85,5.08,100428.76,12.92
CAMP_047,4835.8,37765,2762,62,LinkedIn,7.31,2.24,70199.7,14.52
CAMP_048,3964.3,72432,2884,43,Facebook,3.98,1.49,75999.99,19.17
CAMP_049,4979.64,20262,362,38,Google,1.79,10.5,64520.64,12.96
